Date	Rapporteurs	Sujets	Liens	Tags
26/01/2026	Emmanuel Péru	media numerique responsable	https://les-enovateurs.com
28/01/2026	Emmanuel Péru	ia oss	https://github.com/clawdbot/clawdbot
28/01/2026	Paul Verbeke	orchestrateur IA utilisant open code	https://github.com/code-yeongyu/oh-my-opencode
28/01/2026	Paul Verbeke	proxy server qui permet de faire la traduction entre les différents formats d'API des LLM de multiples providers en utilisant le format OpenAI. En passant par leur SDK python ou en overridant les appels du terminal de Claude Code (on peut utiliser Claude Code avec des LLM non-Anthropic 😱)	https://github.com/BerriAI/litellm
29/01/2026	Emmanuel Péru	k8s Oss docusaurus	https://keploy.io/docs/
30/01/2026	Lucas Perreau	Prompt to generate instructions	https://docs.github.com/fr/copilot/how-tos/configure-custom-instructions/add-repository-instructions
30/01/2026	Emmanuel Péru	web design	https://github.com/LayoutitStudio/voxcss
31/01/2026	Emmanuel Péru	web dev test oss	https://github.com/responsively-org/responsively-app
01/02/2026	Nicolas Lefebvre	thread du fondateur de Claude avec pas mal d'astuces différentes, qui peuvent aussi s'appliquer à d'autres outils IA	https://x.com/i/status/2017742741636321619
02/02/2026	Ludovic Dussart	Local AI, on Your Computer.	https://lmstudio.ai/
03/02/2026	Emmanuel Péru	IA method code-assist	https://www.hoko.team/blog/spec-driven-development-frameworks-aidd-2026
03/02/2026	Paul Verbeke	 An open source toolkit that allows you to focus on product  scenarios and predictable outcomes instead of vibe coding every piece  from scratch.	https://github.com/github/spec-kit
03/02/2026	Ludovic Dussart	lightweight spec-driven framework	https://openspec.dev/
03/02/2026	Emmanuel Péru	ia LLM prompt	https://github.com/glittercowboy/get-shit-done
03/02/2026	Emmanuel Péru	knowledge api	https://consensus.app/home/api/
03/02/2026	Emmanuel Péru	light LLM	https://github.com/lyogavin/airllm
